textid	register	transl-id	status	study	studyyear	experience	age	nativelang	gender
abcnews.306755	news	st01	stud	MA	1	2	22	HR	m
cbsnews.302129	news	st01	stud	MA	1	2	22	HR	m
foxnews.100074	news	st01	stud	MA	1	2	22	HR	m
review_beauty_87_1	review	st01	stud	MA	1	2	22	HR	m
review_cd+vinyl_12_5	review	st01	stud	MA	1	2	22	HR	m
review_cell-phones+accessories_40_4	review	st01	stud	MA	1	2	22	HR	m
review_health+care_119_2	review	st01	stud	MA	1	2	22	HR	m
review_home+kitchen_214_2	review	st01	stud	MA	1	2	22	HR	m
review_movies+TV_439_1	review	st01	stud	MA	1	2	22	HR	m
review_patio+lawn+garden_11_4	review	st01	stud	MA	1	2	22	HR	m
review_pet_supplies_15_1	review	st01	stud	MA	1	2	22	HR	m
review_sports+outdoors_181_1	review	st01	stud	MA	1	2	22	HR	m
abcnews.306758	news	st02	stud	MA	2	2	23	HR	f
chicago_defender.80	news	st02	stud	MA	2	2	23	HR	f
gateway-zh.135	news	st02	stud	MA	2	2	23	HR	f
review_beauty_88_1	review	st02	stud	MA	2	2	23	HR	f
review_cd+vinyl_152_2	review	st02	stud	MA	2	2	23	HR	f
review_health+care_127_1	review	st02	stud	MA	2	2	23	HR	f
review_home+kitchen_21_5	review	st02	stud	MA	2	2	23	HR	f
review_toys-and-games_9_4	review	st02	stud	MA	2	2	23	HR	f
sky.com.20669	news	st02	stud	MA	2	2	23	HR	f
cnbc.com.33999	news	st03	stud	MA	1	3	22	HR	m
independent.226349	news	st03	stud	MA	1	3	22	HR	m
review_beauty_93_1	review	st03	stud	MA	1	3	22	HR	m
review_cd+vinyl_156_2	review	st03	stud	MA	1	3	22	HR	m
review_cell-phones+accessories_47_1	review	st03	stud	MA	1	3	22	HR	m
review_health+care_13_5	review	st03	stud	MA	1	3	22	HR	m
review_home+kitchen_24_5	review	st03	stud	MA	1	3	22	HR	m
review_movies+TV_500_1	review	st03	stud	MA	1	3	22	HR	m
review_patio+lawn+garden_14_5	review	st03	stud	MA	1	3	22	HR	m
review_pet_supplies_23_4	review	st03	stud	MA	1	3	22	HR	m
review_sports+outdoors_209_1	review	st03	stud	MA	1	3	22	HR	m
review_toys-and-games_531_2	review	st03	stud	MA	1	3	22	HR	m
review_video-games_66_1	review	st03	stud	MA	1	3	22	HR	m
telegraph.405401	news	st03	stud	MA	1	3	22	HR	m
abcnews.306776	news	st04	stud	MA	1	0	24	HR	f
cnbc.com.6769	news	st04	stud	MA	1	0	24	HR	f
kcal.279	news	st04	stud	MA	1	0	24	HR	f
review_books_11_5	review	st04	stud	MA	1	0	24	HR	f
review_cd+vinyl_159_2	review	st04	stud	MA	1	0	24	HR	f
review_cell-phones+accessories_57_5	review	st04	stud	MA	1	0	24	HR	f
review_health+care_14_5	review	st04	stud	MA	1	0	24	HR	f
review_home+kitchen_29_2	review	st04	stud	MA	1	0	24	HR	f
telegraph.405408	news	st04	stud	MA	1	0	24	HR	f
bbc.381647	news	st05	stud	MA	2	4	23	HR	f
cnbc.com.6784	news	st05	stud	MA	2	4	23	HR	f
nytimes.184804	news	st05	stud	MA	2	4	23	HR	f
review_books_14_4	review	st05	stud	MA	2	4	23	HR	f
review_cd+vinyl_164_1	review	st05	stud	MA	2	4	23	HR	f
review_cell-phones+accessories_64_2	review	st05	stud	MA	2	4	23	HR	f
review_health+care_16_4	review	st05	stud	MA	2	4	23	HR	f
review_home+kitchen_41_2	review	st05	stud	MA	2	4	23	HR	f
review_musical-instruments_12_4	review	st05	stud	MA	2	4	23	HR	f
review_patio+lawn+garden_147_2	review	st05	stud	MA	2	4	23	HR	f
telegraph.405413	news	st05	stud	MA	2	4	23	HR	f
bbc.381669	news	st06	stud	MA	1	3	22	HR	f
nytimes.184862	news	st06	stud	MA	1	3	22	HR	f
review_books_1_4	review	st06	stud	MA	1	3	22	HR	f
review_cd+vinyl_16_5	review	st06	stud	MA	1	3	22	HR	f
review_grocery+gourmet-food_11_5	review	st06	stud	MA	1	3	22	HR	f
review_health+care_185_2	review	st06	stud	MA	1	3	22	HR	f
review_home+kitchen_6_5	review	st06	stud	MA	1	3	22	HR	f
review_musical-instruments_1_5	review	st06	stud	MA	1	3	22	HR	f
review_patio+lawn+garden_1_4	review	st06	stud	MA	1	3	22	HR	f
review_toys-and-games_3_5	review	st06	stud	MA	1	3	22	HR	f
review_video-games_7_5	review	st06	stud	MA	1	3	22	HR	f
telegraph.405422	news	st06	stud	MA	1	3	22	HR	f
bbc.381679	news	st07	stud	MA	1	1.5	21	HR	f
cnn.304404	news	st07	stud	MA	1	1.5	21	HR	f
reuters.218882	news	st07	stud	MA	1	1.5	21	HR	f
review_books_16_1	review	st07	stud	MA	1	1.5	21	HR	f
review_cd+vinyl_17_5	review	st07	stud	MA	1	1.5	21	HR	f
review_cell-phones+accessories_12_5	review	st07	stud	MA	1	1.5	21	HR	f
review_grocery+gourmet-food_13_5	review	st07	stud	MA	1	1.5	21	HR	f
review_health+care_19_5	review	st07	stud	MA	1	1.5	21	HR	f
review_home+kitchen_96_2	review	st07	stud	MA	1	1.5	21	HR	f
review_musical-instruments_17_4	review	st07	stud	MA	1	1.5	21	HR	f
review_patio+lawn+garden_15_5	review	st07	stud	MA	1	1.5	21	HR	f
review_pet_supplies_27_1	review	st07	stud	MA	1	1.5	21	HR	f
review_sports+outdoors_22_5	review	st07	stud	MA	1	1.5	21	HR	f
review_toys-and-games_21_5	review	st07	stud	MA	1	1.5	21	HR	f
review_video-games_58_1	review	st07	stud	MA	1	1.5	21	HR	f
telegraph.405430	news	st07	stud	MA	1	1.5	21	HR	f
bbc.381692	news	st08	stud	MA	2	2	23	HR	f
cnn.304447	news	st08	stud	MA	2	2	23	HR	f
reuters.218909	news	st08	stud	MA	2	2	23	HR	f
review_books_172_1	review	st08	stud	MA	2	2	23	HR	f
review_cd+vinyl_23_5	review	st08	stud	MA	2	2	23	HR	f
review_grocery+gourmet-food_147_2	review	st08	stud	MA	2	2	23	HR	f
review_health+care_199_2	review	st08	stud	MA	2	2	23	HR	f
review_movies+TV_11_5	review	st08	stud	MA	2	2	23	HR	f
review_musical-instruments_18_5	review	st08	stud	MA	2	2	23	HR	f
upi.176266	news	st08	stud	MA	2	2	23	HR	f
bbc.381694	news	st09	stud	MA	2	2	24	HR	f
cnn.304478	news	st09	stud	MA	2	2	24	HR	f
reuters.218911	news	st09	stud	MA	2	2	24	HR	f
review_books_18_4	review	st09	stud	MA	2	2	24	HR	f
review_grocery+gourmet-food_16_4	review	st09	stud	MA	2	2	24	HR	f
review_health+care_4_4	review	st09	stud	MA	2	2	24	HR	f
review_musical-instruments_24_5	review	st09	stud	MA	2	2	24	HR	f
review_patio+lawn+garden_161_2	review	st09	stud	MA	2	2	24	HR	f
review_pet_supplies_36_5	review	st09	stud	MA	2	2	24	HR	f
review_sports+outdoors_2_5	review	st09	stud	MA	2	2	24	HR	f
review_toys-and-games_5_4	review	st09	stud	MA	2	2	24	HR	f
review_video-games_54_1	review	st09	stud	MA	2	2	24	HR	f
upi.176275	news	st09	stud	MA	2	2	24	HR	f
bbc.381701	news	st10	stud	MA	2	3.5	23	HR	f
cnn.304489	news	st10	stud	MA	2	3.5	23	HR	f
reuters.218921	news	st10	stud	MA	2	3.5	23	HR	f
review_beauty_12_4	review	st10	stud	MA	2	3.5	23	HR	f
review_books_19_4	review	st10	stud	MA	2	3.5	23	HR	f
review_cd+vinyl_7_5	review	st10	stud	MA	2	3.5	23	HR	f
review_cell-phones+accessories_4_4	review	st10	stud	MA	2	3.5	23	HR	f
review_grocery+gourmet-food_167_2	review	st10	stud	MA	2	3.5	23	HR	f
review_health+care_53_1	review	st10	stud	MA	2	3.5	23	HR	f
review_movies+TV_187_1	review	st10	stud	MA	2	3.5	23	HR	f
review_musical-instruments_25_5	review	st10	stud	MA	2	3.5	23	HR	f
review_patio+lawn+garden_181_2	review	st10	stud	MA	2	3.5	23	HR	f
review_pet_supplies_38_5	review	st10	stud	MA	2	3.5	23	HR	f
review_sports+outdoors_29_4	review	st10	stud	MA	2	3.5	23	HR	f
review_toys-and-games_24_5	review	st10	stud	MA	2	3.5	23	HR	f
review_video-games_41_1	review	st10	stud	MA	2	3.5	23	HR	f
bbc.381780	news	st11	stud	MA	1	1.5	23	HR	m
cnn.385761	news	st11	stud	MA	1	1.5	23	HR	m
reuters.218933	news	st11	stud	MA	1	1.5	23	HR	m
review_beauty_14_5	review	st11	stud	MA	1	1.5	23	HR	m
review_books_233_1	review	st11	stud	MA	1	1.5	23	HR	m
review_cd+vinyl_8_5	review	st11	stud	MA	1	1.5	23	HR	m
review_grocery+gourmet-food_175_2	review	st11	stud	MA	1	1.5	23	HR	m
review_health+care_6_5	review	st11	stud	MA	1	1.5	23	HR	m
review_movies+TV_252_1	review	st11	stud	MA	1	1.5	23	HR	m
review_patio+lawn+garden_392_1	review	st11	stud	MA	1	1.5	23	HR	m
bbc.381735	news	st12	stud	MA	1	0	22	HR	m
reuters.276702	news	st12	stud	MA	1	0	22	HR	m
review_beauty_17_5	review	st12	stud	MA	1	0	22	HR	m
review_books_268_2	review	st12	stud	MA	1	0	22	HR	m
review_cell-phones+accessories_102_1	review	st12	stud	MA	1	0	22	HR	m
review_grocery+gourmet-food_18_5	review	st12	stud	MA	1	0	22	HR	m
review_health+care_84_1	review	st12	stud	MA	1	0	22	HR	m
review_movies+TV_20_5	review	st12	stud	MA	1	0	22	HR	m
review_musical-instruments_287_2	review	st12	stud	MA	1	0	22	HR	m
review_patio+lawn+garden_19_5	review	st12	stud	MA	1	0	22	HR	m
review_pet_supplies_46_4	review	st12	stud	MA	1	0	22	HR	m
review_sports+outdoors_3_4	review	st12	stud	MA	1	0	22	HR	m
review_toys-and-games_587_1	review	st12	stud	MA	1	0	22	HR	m
review_video-games_40_1	review	st12	stud	MA	1	0	22	HR	m
bbc.381736	news	st13	stud	MA	2	4	22	HR	f
dailymail.co.uk.298602	news	st13	stud	MA	2	4	22	HR	f
review_beauty_18_5	review	st13	stud	MA	2	4	22	HR	f
review_cell-phones+accessories_105_2	review	st13	stud	MA	2	4	22	HR	f
review_grocery+gourmet-food_20_4	review	st13	stud	MA	2	4	22	HR	f
review_health+care_8_5	review	st13	stud	MA	2	4	22	HR	f
review_movies+TV_22_5	review	st13	stud	MA	2	4	22	HR	f
review_musical-instruments_3_5	review	st13	stud	MA	2	4	22	HR	f
review_patio+lawn+garden_247_1	review	st13	stud	MA	2	4	22	HR	f
review_pet_supplies_48_5	review	st13	stud	MA	2	4	22	HR	f
review_sports+outdoors_36_5	review	st13	stud	MA	2	4	22	HR	f
review_toys-and-games_615_2	review	st13	stud	MA	2	4	22	HR	f
review_video-games_33_5	review	st13	stud	MA	2	4	22	HR	f
rt.com.91337	news	st13	stud	MA	2	4	22	HR	f
bbc.381760	news	st14	stud	MA	2	1	22	HR	f
dailymail.co.uk.298630	news	st14	stud	MA	2	1	22	HR	f
review_beauty_21_5	review	st14	stud	MA	2	1	22	HR	f
review_books_311_1	review	st14	stud	MA	2	1	22	HR	f
review_cd+vinyl_25_5	review	st14	stud	MA	2	1	22	HR	f
review_cell-phones+accessories_117_1	review	st14	stud	MA	2	1	22	HR	f
review_grocery+gourmet-food_340_1	review	st14	stud	MA	2	1	22	HR	f
review_home+kitchen_10_5	review	st14	stud	MA	2	1	22	HR	f
review_movies+TV_24_5	review	st14	stud	MA	2	1	22	HR	f
review_musical-instruments_409_1	review	st14	stud	MA	2	1	22	HR	f
review_patio+lawn+garden_334_1	review	st14	stud	MA	2	1	22	HR	f
review_pet_supplies_64_5	review	st14	stud	MA	2	1	22	HR	f
review_sports+outdoors_40_1	review	st14	stud	MA	2	1	22	HR	f
review_toys-and-games_254_2	review	st14	stud	MA	2	1	22	HR	f
review_video-games_2_5	review	st14	stud	MA	2	1	22	HR	f
scotsman.133753	news	st14	stud	MA	2	1	22	HR	f
bbc.381765	news	st15	stud	MA	1	1	22	HR	f
dailymail.co.uk.298644	news	st15	stud	MA	1	1	22	HR	f
review_beauty_25_5	review	st15	stud	MA	1	1	22	HR	f
review_books_5_5	review	st15	stud	MA	1	1	22	HR	f
review_grocery+gourmet-food_355_1	review	st15	stud	MA	1	1	22	HR	f
review_home+kitchen_112_1	review	st15	stud	MA	1	1	22	HR	f
review_movies+TV_249_1	review	st15	stud	MA	1	1	22	HR	f
review_musical-instruments_414_1	review	st15	stud	MA	1	1	22	HR	f
review_patio+lawn+garden_387_1	review	st15	stud	MA	1	1	22	HR	f
review_pet_supplies_91_1	review	st15	stud	MA	1	1	22	HR	f
review_sports+outdoors_43_2	review	st15	stud	MA	1	1	22	HR	f
review_video-games_21_4	review	st15	stud	MA	1	1	22	HR	f
scotsman.133765	news	st15	stud	MA	1	1	22	HR	f
bbc.381705	news	st16	stud	MA	1	2	23	HR	f
cnn.385803	news	st16	stud	MA	1	2	23	HR	f
en.ndtv.com.13004	news	st16	stud	MA	1	2	23	HR	f
review_beauty_53_1	review	st16	stud	MA	1	2	23	HR	f
review_books_77_2	review	st16	stud	MA	1	2	23	HR	f
review_cell-phones+accessories_127_1	review	st16	stud	MA	1	2	23	HR	f
review_grocery+gourmet-food_356_1	review	st16	stud	MA	1	2	23	HR	f
review_home+kitchen_12_5	review	st16	stud	MA	1	2	23	HR	f
review_movies+TV_1_4	review	st16	stud	MA	1	2	23	HR	f
review_musical-instruments_483_2	review	st16	stud	MA	1	2	23	HR	f
review_pet_supplies_9_5	review	st16	stud	MA	1	2	23	HR	f
review_sports+outdoors_5_4	review	st16	stud	MA	1	2	23	HR	f
review_toys-and-games_23_5	review	st16	stud	MA	1	2	23	HR	f
review_video-games_20_1	review	st16	stud	MA	1	2	23	HR	f
scotsman.133783	news	st16	stud	MA	1	2	23	HR	f
cbsnews.248387	news	st17	stud	MA	1	4	22	HR	f
euronews-en.153797	news	st17	stud	MA	1	4	22	HR	f
review_beauty_58_1	review	st17	stud	MA	1	4	22	HR	f
review_books_8_4	review	st17	stud	MA	1	4	22	HR	f
review_cell-phones+accessories_132_1	review	st17	stud	MA	1	4	22	HR	f
review_grocery+gourmet-food_399_2	review	st17	stud	MA	1	4	22	HR	f
review_home+kitchen_145_1	review	st17	stud	MA	1	4	22	HR	f
review_movies+TV_25_5	review	st17	stud	MA	1	4	22	HR	f
review_musical-instruments_51_2	review	st17	stud	MA	1	4	22	HR	f
review_patio+lawn+garden_6_5	review	st17	stud	MA	1	4	22	HR	f
review_pet_supplies_98_2	review	st17	stud	MA	1	4	22	HR	f
review_sports+outdoors_6_5	review	st17	stud	MA	1	4	22	HR	f
review_toys-and-games_331_1	review	st17	stud	MA	1	4	22	HR	f
review_video-games_18_2	review	st17	stud	MA	1	4	22	HR	f
scotsman.133801	news	st17	stud	MA	1	4	22	HR	f
cbsnews.248394	news	st18	stud	MA	2	3	22	HR	f
euronews-en.153799	news	st18	stud	MA	2	3	22	HR	f
review_beauty_62_1	review	st18	stud	MA	2	3	22	HR	f
review_cd+vinyl_107_2	review	st18	stud	MA	2	3	22	HR	f
review_cell-phones+accessories_13_5	review	st18	stud	MA	2	3	22	HR	f
review_grocery+gourmet-food_8_5	review	st18	stud	MA	2	3	22	HR	f
review_home+kitchen_185_1	review	st18	stud	MA	2	3	22	HR	f
review_movies+TV_26_5	review	st18	stud	MA	2	3	22	HR	f
review_musical-instruments_53_1	review	st18	stud	MA	2	3	22	HR	f
review_pet_supplies_131_2	review	st18	stud	MA	2	3	22	HR	f
review_sports+outdoors_133_1	review	st18	stud	MA	2	3	22	HR	f
review_toys-and-games_15_5	review	st18	stud	MA	2	3	22	HR	f
review_video-games_17_5	review	st18	stud	MA	2	3	22	HR	f
scotsman.133804	news	st18	stud	MA	2	3	22	HR	f
abcnews.306764	news	st19	stud	MA	1	2	23	HR	f
cbsnews.248471	news	st19	stud	MA	1	2	23	HR	f
euronews-en.153800	news	st19	stud	MA	1	2	23	HR	f
review_beauty_6_5	review	st19	stud	MA	1	2	23	HR	f
review_cd+vinyl_110_1	review	st19	stud	MA	1	2	23	HR	f
review_cell-phones+accessories_25_4	review	st19	stud	MA	1	2	23	HR	f
review_grocery+gourmet-food_9_5	review	st19	stud	MA	1	2	23	HR	f
review_home+kitchen_19_5	review	st19	stud	MA	1	2	23	HR	f
review_movies+TV_274_2	review	st19	stud	MA	1	2	23	HR	f
review_musical-instruments_547_2	review	st19	stud	MA	1	2	23	HR	f
review_pet_supplies_132_2	review	st19	stud	MA	1	2	23	HR	f
review_sports+outdoors_137_1	review	st19	stud	MA	1	2	23	HR	f
review_toys-and-games_166_1	review	st19	stud	MA	1	2	23	HR	f
review_video-games_16_5	review	st19	stud	MA	1	2	23	HR	f
seattle_times.7019	news	st19	stud	MA	1	2	23	HR	f
cbsnews.248484	news	st20	stud	MA	1	5	23	HR	m
cnn.304400	news	st20	stud	MA	1	5	23	HR	m
euronews-en.153835	news	st20	stud	MA	1	5	23	HR	m
review_beauty_82_1	review	st20	stud	MA	1	5	23	HR	m
review_books_302_2	review	st20	stud	MA	1	5	23	HR	m
review_cd+vinyl_113_2	review	st20	stud	MA	1	5	23	HR	m
review_cell-phones+accessories_28_4	review	st20	stud	MA	1	5	23	HR	m
review_health+care_110_1	review	st20	stud	MA	1	5	23	HR	m
review_home+kitchen_20_5	review	st20	stud	MA	1	5	23	HR	m
review_movies+TV_304_1	review	st20	stud	MA	1	5	23	HR	m
review_patio+lawn+garden_10_4	review	st20	stud	MA	1	5	23	HR	m
review_pet_supplies_143_1	review	st20	stud	MA	1	5	23	HR	m
review_sports+outdoors_146_2	review	st20	stud	MA	1	5	23	HR	m
review_toys-and-games_187_1	review	st20	stud	MA	1	5	23	HR	m
review_video-games_13_5	review	st20	stud	MA	1	5	23	HR	m
seattle_times.7452	news	st20	stud	MA	1	5	23	HR	m
abcnews.306755	news	pr01	prof	NA	NA	5	28	HR	m
